,Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],ε [%],y [%],y* [%]
0,CC,632038.9825581049,436504.3469863517,195534.63557175314,0.0,69.06288362462246,30.49487545873933,76.95062856950405
1,COMP,242430.91770901936,231477.26616971465,10953.651539304703,0.0,95.48174315272281,1.7082919275800117,4.310695998262193
2,COND,,,3715.714433707206,0.0,,0.36428573837911143,0.9192369578654901
3,DEA,7736.545999354614,5015.2547988724755,2721.2912004821383,0.0,64.82550222400086,0.42440274585120147,1.0709359382057804
4,ECO,13419.59677649889,11944.775568181185,1474.8212083177064,0.0,89.00994394331958,0.23000778833912588,0.5804005959140544
5,EVA,74109.97557728035,62467.0945748083,11642.881002472042,0.0,84.28972495027868,1.8157816650391794,4.5819351077134
7,GEN1,251851.3449154699,248073.57474173786,3777.770173732042,0.0,98.5,0.5891673903338933,1.4867022847884646
8,GEN2,53229.25538320417,52430.8165524561,798.4388307480663,0.0,98.49999999999999,0.12452163594387304,0.31421732380408623
9,GT,510266.61791807367,494282.26262448955,15984.355293584109,0.0,96.86745032257814,2.4928623133225796,6.290477303537434
12,HC,39721.621069629444,39721.621069629444,0.0,0.0,100.0,0.0,0.0
13,MOT1,38.19460715032622,37.62168804307133,0.5729191072548929,0.0,98.5,8.935039448424935e-05,0.00022546637476185231
14,MOT2,462.24220566576145,455.308572580775,6.933633084986475,0.0,98.49999999999999,0.0010813443704487192,0.002728659414225511
16,PUMP1,37.62168804307135,30.538081528104396,7.083606514966956,0.0,81.17148144214778,0.0011047336848584235,0.0027876799027030503
17,PUMP2,455.30857258077504,397.47683243727937,57.83174014349567,0.0,87.29834147077564,0.009019229294499685,0.022759081746809896
6,SH,33351.97127850637,29006.703606243984,4345.2676722623855,0.0,86.97148172749031,0.6776722503052534,1.710035041646808
10,ST1,28458.67146262756,27463.964409901022,994.707052726537,0.0,96.50473124146781,0.15513091888876265,0.39145664769829275
11,ST2,28763.766471398063,25765.29097330314,2998.4754980949238,0.0,89.57551160389052,0.4676314076691137,1.180018944745935
19,dea steam inlet valve,461.7185904615857,,461.7185904615857,0.0,,0.07200796356072645,0.1817045642801557
20,drum,340842.7427226474,340835.4600265155,7.282696131885052,0.0,99.99786332662573,0.001135782982366729,0.002866029557324149
18,drum pump,3.8951641572552003,3.477261238956917,0.4179029182982836,0.0,89.27123732333872,6.517462959994824e-05,0.00016446136077146494
15,drum pump motor,3.9544813778763506,3.895164157208206,0.05931722066814473,0.0,98.50000000000001,9.250899471310549e-06,2.3343677206152724e-05
21,turbine outlet extraction,,,-1.4901161193847657e-11,0.0,,-2.323931274212718e-15,-5.864197495902478e-15
TOT,TOT,641204.8996111448,339721.62106962944,254104.01345213258,47379.26508938278,52.981756888578325,39.6291440702079,99.99999999999993
