,Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],ε [%],y [%],y* [%]
0,COMP,894.071199189128,768.252069662529,125.81912952659896,0.0,85.92739262368481,7.747929337233672,11.05429316821058
2,COND,575.346583808972,483.86451637980997,91.4820674291621,0.0,84.09965923087219,5.633456508021301,8.037486801895074
3,EVA,648.8576330202496,1.7961954663229007,647.0614375539267,0.0,0.2768242793048633,39.84597822191101,56.84991507632978
1,FAN,705.4128114137683,600.5572491444691,104.85556226929917,0.0,85.13557443631473,6.456994974732247,9.212463398877281
4,MOT1,716.15513849115,705.4128114137827,10.742327077367344,0.0,98.49999999999999,0.6615114206087285,0.9438058685418029
5,MOT2,907.6864966387076,894.071199189127,13.615297449580627,0.0,98.5,0.8384286470720432,1.1962210368673374
6,MOT3,0.06488298923371072,0.06390974439520505,0.0009732448385056643,0.0,98.5,5.993231923429534e-05,8.550793356915531e-05
7,PUMP,0.06390974439447746,0.05336273958357197,0.010547004810905493,0.0,83.4970317737386,0.0006494834950919268,0.0009266451267382905
8,VAL,144.6051019777764,,144.6051019777764,0.0,,8.904767630667983,12.704802496216546
TOT,TOT,1623.906518119092,483.91787911939355,1138.1924435333754,1.7961954663229007,29.799614307841864,70.0897761560613,99.99999999999869
